Món đồ,Phương thức thanh toán,Loại phương thức thanh toán,Nơi mua,Người thụ hưởng,Số tiền
tôm_hùm,Tiền mặt,Chi,chợ,Không rõ,0
tiền_phòng_gym,Tiền mặt,Khác,N/A,Không rõ,0
"vải, may, áo",Tiền mặt,Chi,N/A,Không rõ,0
đĩa_nhạc,Tiền mặt,Chi,N/A,Không rõ,0
giỏ_xách,Tiền mặt,Chi,N/A,Không rõ,0
thẻ_game_online,Tiền mặt,Chi,N/A,Không rõ,0
tiền_điện_thoại,Tiền mặt,Khác,N/A,Không rõ,0
hạt_giống_cây_trồng,Tiền mặt,Chi,N/A,Không rõ,0
ổ_cứng_di_động,Tiền mặt,Chi,N/A,Không rõ,0
ốp_điện_thoại,Tiền mặt,Chi,N/A,Không rõ,0
"khám_sức_khỏe, định_kỳ",Tiền mặt,Khác,N/A,Không rõ,0
"đồng_hồ_thông_minh, lễ, chùa, tiền_lễ",Tiền mặt,Chi,N/A,Không rõ,0
"sách, tiếng",Tiền mặt,Chi,Anh,Không rõ,0
tiền_học_thêm,Tiền mặt,Khác,N/A,con,0
loa_Bluetooth,Tiền mặt,Chi,N/A,Không rõ,0
quần_jean,Tiền mặt,Chi,N/A,Không rõ,0
ăn_lẩu,Tiền mặt,Khác,nhà_hàng,Không rõ,0
"sách_thiền, yoga",Tiền mặt,Chi,N/A,Không rõ,0
thức_ăn,Tiền mặt,Chi,N/A,cá_cảnh,0
gói_xem_phim_trực_tuyến,Tiền mặt,Chi,N/A,Không rõ,0
tiền_hội_phí_câu_lạc_bộ,Tiền mặt,Khác,N/A,Không rõ,0
dép,Tiền mặt,Chi,N/A,Không rõ,0
